,Unnamed: 0,+/-,3PA,3PM,AST,BLK,DKPoints,DREB,FGA,FGM,FTA,FTM,MIN,OREB,PF,PTS,REB,STL,TO,game_id,player,team,away_team_losses,away_team_wins,date,home_team,home_team_losses,home_team_score,home_team_wins,visit_team,visit_team_score,Home
1597,1597,3.0,2.0,0.0,2.0,1.0,32.25,4.0,14.0,6.0,5.0,5.0,37.0,1.0,1.0,17.0,5.0,2.0,0.0,400827889.0,Jimmy Butler,Chicago Bulls,1,0,2015-10-27 00:00:00,Chicago Bulls,0,97,1,Cleveland Cavaliers,95,1
1598,1598,2.0,0.0,0.0,0.0,3.0,22.0,8.0,3.0,1.0,4.0,3.0,22.0,2.0,6.0,5.0,10.0,0.0,3.0,400827889.0,Taj Gibson,Chicago Bulls,1,0,2015-10-27 00:00:00,Chicago Bulls,0,97,1,Cleveland Cavaliers,95,1
1599,1599,-2.0,2.0,1.0,0.0,0.0,13.5,4.0,4.0,3.0,2.0,1.0,16.0,0.0,0.0,8.0,4.0,0.0,0.0,400827889.0,Doug McDermott,Chicago Bulls,1,0,2015-10-27 00:00:00,Chicago Bulls,0,97,1,Cleveland Cavaliers,95,1
1591,1591,,,,,,,,,,,,,,,,,,,400827889.0,Sasha Kaun,Cleveland Cavaliers,1,0,2015-10-27 00:00:00,Chicago Bulls,0,97,1,Cleveland Cavaliers,95,0
868,868,,,,,,,,,,,,,,,,,,,400827890.0,Jrue Holiday,New Orleans Pelicans,1,0,2015-10-27 00:00:00,Golden State Warriors,0,111,1,New Orleans Pelicans,95,0
1853,1853,-5.0,3.0,1.0,4.0,3.0,36.0,3.0,11.0,6.0,3.0,2.0,30.0,1.0,1.0,15.0,4.0,2.0,1.0,400827888.0,Al Horford,Atlanta Hawks,0,1,2015-10-27 00:00:00,Atlanta Hawks,1,94,0,Detroit Pistons,106,1
1603,1603,,,,,,,,,,,,,,,,,,,400827889.0,Cameron Bairstow,Chicago Bulls,1,0,2015-10-27 00:00:00,Chicago Bulls,0,97,1,Cleveland Cavaliers,95,1
870,870,20.0,5.0,2.0,2.0,0.0,25.5,5.0,12.0,3.0,2.0,2.0,29.0,3.0,5.0,10.0,8.0,1.0,1.0,400827890.0,Draymond Green,Golden State Warriors,1,0,2015-10-27 00:00:00,Golden State Warriors,0,111,1,New Orleans Pelicans,95,1
871,871,17.0,0.0,0.0,5.0,2.0,29.75,4.0,6.0,6.0,0.0,0.0,19.0,1.0,2.0,12.0,5.0,0.0,0.0,400827890.0,Andrew Bogut,Golden State Warriors,1,0,2015-10-27 00:00:00,Golden State Warriors,0,111,1,New Orleans Pelicans,95,1
872,872,12.0,12.0,5.0,7.0,0.0,63.5,3.0,26.0,14.0,7.0,7.0,36.0,3.0,1.0,40.0,6.0,2.0,2.0,400827890.0,Stephen Curry,Golden State Warriors,1,0,2015-10-27 00:00:00,Golden State Warriors,0,111,1,New Orleans Pelicans,95,1
